title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
Never travel  with Air France,Vancouver,New Delhi,International,Worst Airline.stopped for door repair about 4 hours.seats were broken.bad behavior  of staff.meal quality  very bad.i made  two trips  in this year .both times very bad experience. Please  never travel  with this flight..,2024-12,2024-12-21,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Terrible service,Chicago,Paris,International,"I boarded Air France on the 19th of December 2024 at ORD . The flight was delayed from 5:17 until departure was 7pm. I explained to them I had a connecting flight at Rome to KSA . They said don’t worry , but once i arrived in France I was rebooked for a flight 5 hours later causing me to lose money and miss my connection. 
Customer service was very rude and gave me an 11$ voucher to eat with 🤦🏽‍♂️.
I will never travel with this airline again",2024-12,2024-12-20,1.0,3.256587202007528,3.118511569731082,3.1219191587249426,3.0816201288738876,2.9329363835788156,3.4978647686832742,3.2173455056179776,3.0819906910132473
Traumatic,London,Algiers,International,"A truly traumatic experience! So much that I get emotionally triggered every time AirFrance is mentioned. Cancelled a flight for stupid reasons. Had to spend the night in the transit area as they “don’t have any available hotel rooms”. I needed urgent medicine that I take every 12 hours, but I couldn’t get it as it was in my checked luggage and they wouldn’t help me get my medication. The health damage I got from this flight is sadly irreversible.",2024-08,2024-12-19,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
"Air France,  the airline that keeps loosing luggage.",London,Paris,Europe,"Air France is quickly becoming the airline for lost luggage. 

It is the second that my luggage has been lost. I would not trust Air France anymore.",2024-12,2024-12-19,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
^^^^ Take Me  Home AF   ^^^^,Vancouver,Manchester,International,"We had  surprisingly smooth  flight  with Air France on  Dec 17  to Manchester UK under two hours layover  at Paris , about 13 hours traveling time , I all way travel on Premium or Business class during  long haul flight  , it is worth for comfortable and relaxing way to go , first time fly with A.F , no complain at all only half hours delay  smooth check in clean  aircraft with friendly Cabin Crew , their seat seating is  2 x 4 x 2 , lot of legroom very  comfortable good inflight entertainment , meal is average nothing special , best  European Airline   connecting to Manchester UK from Paris  , happy to recommend to any one planning a trip to Manchester UK !                                **** P.S with my experience traveling  around the  world for business and leisure over half  century ,  avoid  travel during any Holiday or travel  a week early and on weekday , arrive extra early  at the airport , travel light get lot of rest and relaxing , be happy , we can not control Mother nature so just smile what ever will be will be !  HAPPY  HOILDAY Every ONE",2024-12,2024-12-19,4.0,4.0,3.118511569731082,4.0,4.0,4.0,4.0,4.0,3.0
Needlessly expensive,Paris,Athens,Europe,"I went to Paris from Athens for recreation. Although I went with the same things I came from greece, in the airport they decided that my things where overweight in order to charge me with 75 needless euros. Moreover they changed our seats 2 times and I booked the tickets 2 months ago by choosing the seats. I wouldn't recommend the airlines with the policy remove something from your bag or pay. All the passengers were obliged to pay for tax just for baggage 🧳.",2024-12,2024-12-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Disappointing,Rabat,Paris,International,Flight cancelled without previous notice neither by contacting passengers nor even a communication at the airport. Discovery at the check-in queue.  The company then suggested to be routed to another airport to take another flight from another city,2024-12,2024-12-18,1.0,3.256587202007528,3.118511569731082,3.1219191587249426,3.0816201288738876,2.9329363835788156,3.4978647686832742,3.2173455056179776,3.0819906910132473
Even the word disaster would be too kind.,Copenhagen,Toulouse,Europe,"“Air France is, without a doubt, the worst airline I’ve ever had the misfortune of dealing with. Over the course of just two trips, they’ve managed to lose my luggage TWICE—one of which they still haven’t refunded me for, even after eight months of chasing them. Their website is a complete joke, constantly lagging and making basic tasks impossible. Changing seats during registration? Forget it. Paying for a seat change only to not get it on the day of the flight? That’s standard practice, apparently. Let’s not even talk about their constant delays, which caused me to miss connecting flights more than once. Oh, and when they rebooked us on a flight TWO DAYS later, they only bothered to pay for one night at a hotel—leaving us stranded to cover the rest ourselves. I genuinely cannot fathom how people continue to give them money and willingly subject themselves to this absolute circus. Never again.”",2024-12,2024-12-18,1.0,3.256587202007528,3.118511569731082,3.1219191587249426,3.0816201288738876,2.9329363835788156,3.4978647686832742,3.2173455056179776,3.0819906910132473
Family trip of lifetime ruined by loss of luggage,Manchester,Paris,Europe,"Truly awful experience with Air France. First family trip abroad to Disneyland and the airline lost our luggage. They failed to tell us onboard that no bags were on the flight. We therefore doesn’t have  our 2-year old’s milk and allergy specific food for the trip and spent a full day (of a 4-day trip) trying to source the kids some clothes and food. We had to proactively approach families in the park to source appropriate nappies and rely on the good faith of decent people to assist us, unlike Air France who simply gave the kids an XL adult T-shirt to wear. They completely ruined our trip which cost us thousands of pounds and have offered us an insulting £90 compensation which doesn’t even reimburse us for our expenses, never mind consider our complete loss of enjoyment. Customer services terrible and would never travel with this airline again, nor recommend to anyone.",2024-11,2024-12-16,1.0,3.256587202007528,3.118511569731082,3.1219191587249426,3.0816201288738876,2.9329363835788156,3.4978647686832742,3.2173455056179776,3.0819906910132473
Dont fly Air France,Venice,Paris,Europe,"Dont fly AF.  I paid $500 for a flight from Venice to Paris that left so late that I arrived into CDG P{aris at 2 am.  There was zero ground transportation and help at 2 am.
I would have been better off on the train that arrived into the centre of Paris at midnight
AF provided zero service, no updates, no water infact zilch",2024-10,2024-12-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
