title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
I flew 2 million miles and Iberia has the worst customer service I've ever seen,Madrid,New York City,International,"The inflights service is good, amazing flight crew.
But their customer service is the worst, they literally stole me 96,000 avios and 600$ (I have a claim with the DOT open). Fly with Iberia only if you NEVER plan to cancel or change your flight, even if it's refundable.",July 2024,"December 20, 2024",1.0,4.0,4.0,3.0,5.0,2.0,2.0,1.0,3.0
"Iberia cancels nonstop flights, changes schedules, ignores payments for seats",Zurich,Las Palmas de Gran Canaria,Europe,"Iberia changed so many times our flight schedule. 20 days before departure one flight segment was cancelled. When check-in paid seats disappeared. When I called Iberia I only got answers like - we can do nothing, even when alternatives were available. Iberia is a kindergarden. Not a serious airline.",December 2024,"December 20, 2024",1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
Worst airlines experience of my life! IBERIA earned it!,Lisbon,Cairo,International,"Facts: 1. Poor check-in counter staff availability. As a result long queues on the check-in counter. Staff arrived 90 mins before flight departure. Before that there was no sign of IBERIA on the check-in counters at Lisbon Airport. Had to ask other airline staff for the IBERIA check-in counter.
2. Gate information was disclosed only 30 mins before flight departure. We had over 90 mins at Madrid airport to catch our connecting flight. No airline staff informed us about the updated gate or the terminal one needs to go to get the connecting flight. Unprofessional ground staff.
3. Baby stroller which was carried via cabin baggage was missed by airline staff along with over 10 cabin baggages at Madrid airport during the connecting flight transfer. Passengers were queueing up at Cairo airport to file their missing baggage report.
4. NSAS (delegated representative of Iberia at Cairo airport) gave us a PIR form with all info without the PIR reference number.
5. IBERIA staff who cannot be approached by any way other than a phone call asked repeatedly for the PIR number. IBERIA website is useless without a PIR number.
6. We called IBERIA phone number for baggage delay over 7 times and each time the customer support will ask to choose a IVRS option which did not exist. Unprofessional phone support.
7. IBERIA Instagram profile responded back saying they do not recognise NSAS as their representative. There is no counter of IBERIA at Cairo international Airport and NSAS features Iberia logo along with many other airlines for baggage and logistics support. IBERIA itself does not know about NSAS and cannot get in touch with NSAS (the entity they hired for Cairo operations).
8. The website for filing the delayed baggage claim does not work and gets stuck on a loop of ""please wait"". 

Very frustrating at several levels. I wish they file bankruptcy soon. Such a sham should not be allowed to operate at this level of negligence.",November 2024,"December 19, 2024",1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0
AVOID AVOID AVOID !!!!,Caracas,Madrid,International,"AVOID!!!!
It's been over three weeks since these incompetent airlines have lost my luggage. Over one week ago they said they have found it and they're sending it over to my home address in Poland. They sent it from Madrid to Munich and then it was meant to be sent to Krakow... after few days I called the airlines to find out what is going on with my luggage, I couldn't believe when they said the luggage is being sent from Munich back to Madrid and they don't know why, probably some mistake...Until today I have no idea where is my luggage and I don't think they do...",November 2024,"December 19, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Avoid IBeria if possible,Oslo,Sao Paulo,International,"Avoid Iberia if possible. My experience on flight OSL-MAD-GRU on 13/12/24:

- Long queues to check in luggage at OSL airport. I waited more than 1 hour in the queue.
- Messy and slow boarding process at MAD airport.
- Charges for everything like a low-cost airline.
- Not possible to change a pre-booked luggage allowance from 15kg to 23kg; I had to buy a new 23kg luggage allowance for 75 EUR.
- Delayed flight in MAD caused me to miss my connection for a domestic flight in GRU.
- Delayed luggage at GRU. Long queue at GRU with only one staff member to support all passengers who did not receive their luggage. I do not understand why my luggage was missed. My connection in MAD was more than 4 hours.
- No meal or drink served on the first flight (3-hour flight from OSL to MAD).
- Unfriendly staff in general.
- I should have listened to my friends who advised me to avoid Iberia.",December 2024,"December 19, 2024",1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0
Arbitrary cancelation - horrible service,New York City,Jerez De La Frontera,International,"We had a time sensitive flight and had to be at our destination to receive our dog,. who was traveling internationally on another airline due to Iberia's restrictions. Iberia canceled our carefully planned business class tickets at the last minute - only by email. When we called, there was not option with Iberia that would get us to our destination in time to receive our dog. We asked to cancel and to receive a refund. Instead, they went ahead and booked another flight - and sent notice by email. This option did not work as we would arrive only the day after our dog. Finally, after hours navigating the horrible customer service we were granted a refund - maybe - this we will only know in 72 hours. This arbitrary cancelation cost us thousands in extras when we had to rebook with another airline to arrive on time. Horrible airline, avoid at all costs.",December 2024,"December 18, 2024",1.0,,,,,,,,
"Scammed by Iberia/Level, like many, many others",Miami,Barcelona,International,"Terrible airline avoid at all costs.  You end up paying for all services twice because they are unable to apply baggage, flexibility, food, and seat selection to code share partners.  It is better to choose a discount carrier than iberia.",December 2024,"December 18, 2024",1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0
Good to worst,Madrid,New York City,International,Flight was good and bad. The plane was dirty and our seat trays didn’t work. Seats were old not enough cushion on them.  The flight attendants were nice and very attentive. The food were good as well.  What made this four stars go into 1 is that they made me wait all that time looking dumb waiting for my bag when they knew it was still in Madrid. They told me it was going to arrive the next day and will be delivered same day. It didn’t arrive till the second day… my luggage looked like it was handled by the hulk. My brand new luggage came back with two missing wheels and beat up. I can’t seem to file a claim online it kept giving me errors and took forever to speak to someone on customer service line. When we finally got someone they barely spoke English and after all that explaining the call drops.  By the way when they called for us to get my bag we had to go to the car and we had to ask the man to open the trunk for us. He didn’t even get out of the vehicle. Very unprofessional. So very disappointing.,December 2024,"December 16, 2024",1.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,5.0
Service doesn't work,Barcelona,Madrid,Domestic,"I can't change my password. I tried three times. I can't login at Iberia and can't use the free wifi in the airplane. They send me a mail that I have to change the password, but doesn't work. The ground stewardessen were also not so friendly.",December 2024,"December 16, 2024",1.0,,,,,,,,
"Iberia, just wow!",Stockholm,Madrid,Europe,They lose your bags and have no clue where it is. Dont let them handle anything of value. This ruined our 4k vacation. Thank you Iberia.,December 2024,"December 15, 2024",1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0
