title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
THE WORST experience EVER! Don't book with Japan Airline (JAL),Vancouver,Osaka,International,"After a long awaited time, my sister and I finally can and decided to meet in Japan for our dream trip.  I booked my flights with JAL, and I'm so excited!  I sent my itinerary to my sister so she can match my flights to meet at the airports in Japan.  It was really hard to sync up together to book our flights due to the time difference between us.  We finally booked everything and now my sister realized my return flight is departing from 2 different airports in Japan.  My return flight is from Osaka ITM to Haneda then from Haneda to Narita before flying back to Vancouver.  Why would I book a flight that makes me fly to Haneda and then have to go to Narita before flying home to Vancouver.  From Haneda to Narita I would have to transit there.  So I checked and there's another flight 20 mins later at 14:50 to fly from Osaka ITM to Narita and then from Narita to Vancouver.  So I called fully willing to pay a penalty or book another flight just from Osaka to Narita but the agent that I spoke to on the phone said I can't rebook not even with a penalty fee and I could not just book another connecting flight because if I don't follow my flight plan the rest of my flights will be cancelled.  This just doesn't make sense.  Also, the agent that I spoke with yelled at me and told me that  it was their policy and no one can do anything about it.  When I asked to speak to a manager they declined.  They said no manager can help me either and the only option I have is to forfeit my ticket that I paid over $1600 for and to rebook and pay another $1600 or book a flight which is $2600 from Haneda to Vancouver.  This blows my mind when I read other reviews online there's many reviews that this happens to many people and it's a complete money grab.  I don't align with Japan Airlines values, what a disgrace to Japan.  Japan is known for being courteous and kind and the service I received today is the complete opposite of that.  I'm fully willing to pay a penalty since it's my fault, or buy a connecting ticket to replace my mistake but the ridged ""policy"" (money grab) is completely disgusting.  If you are thinking about booking with Japan Airlines, DON'T!!!!",December 2024,"December 20, 2024",1.0,,,,,,,,
Thank you Arito-mi & Sagya,Tokyo,Singapore,Southeast Asia,"Have decided to extend my trip ‘assumedly’ for another day and paid about SGD500 additional for change of reservation to end up foolishly mistook my flight booked for 13 December 0010hrs when it was 12 December 0010hrs. I didn’t manage to thank Arito-mi (if I got her name correctly). I was incredibly in distress, worrying that I will have to rebook my tickets and on top of the extra costs, worrying that next available flight would be the next day (because i checked online) - I live in Singapore and I do have to say that in our country, every thing is all about money and there is barely any empathy or ‘go for the extra mile for your customers’. Arito-mi was so very kind and instead of how usually customer service would ‘brush you off’, she calmly told us to hold on and had us seated aside while she checked what she could do for us to catch the next flight. To my surprise, instead of a SGD600 that I supposedly had to pay for a one way ticket back. We only had to pay less than SGD50 per person and the best part, it is a flight in next 3 hours. Later was handled by Sagya who handled our baggage check-in. I suppose she noticed my partner and I were seated apart, she made a call and shared to us that she had requested for seat reallocation so we could be seated together during the flight.

I am incredibly touched by the customer service and the genuine initiative from both of them. From a very distressing situation over a mistake that is obviously of my own. Both Arito-mi and Sagya has warmed my heart after a sobbing time finding out I missed my flight. I am so glad that I left Japan in a good note.

Thank you to both of them and I must say they are a great asset to JAL. All the best and take care! I hope to come back to Japan soon!",December 2024,"December 12, 2024",5.0,,,,,,,,
Visiting my son in Japan,New York City,Tokyo,International,Just wanted to say thanks to the crew on the plane that took my wife and I to visit my son in Japan. I  haven’t been on an airplane since my honeymoon 42 years ago! And everything about the japan airlines flight was great! The attendants were courteous professionals and very friendly and the food was great! Thanks again jal!,September 2024,"December 9, 2024",5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
Great service!,Bangkok,Tokyo,North Asia,Great hospitality. Food was served with a cup of miso soup. Cabin was clean and comfortable. Another excellent flight with JAL.,July 2024,"December 6, 2024",5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
Worst rule from check in counter Japan Airlines - Narita Airport,Tokyo,Kuala Lumpur,Southeast Asia,"I took business class for both return flight Kuala Lumpur. Flight from Narita very strict and not tolerable for the luggage. the staff there said only 3 luggages allowed and my small bag weight 2.2kg consider 1 luggage eventhough my limit is 105kg. I want to check in all my luggages but the staff insist only 3 luggages are allowed. 

Even if I want to wrap and combined together they are not allowed me to do that. 

I never recommend to any of my friends because of this stupid rules by Japan Airlines.

my booking no : 5FSDYW",November 2024,"December 3, 2024",1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0
Check in process needs to be improved,Tokyo,Dallas,International,"My ticket was through American Airlines reward program, from Hanoi Vietnam to DFW, via connecting in Haneda airport.  My journey required a change of airport from Narita to Haneda in a 4 hour layover.  My online check in was denied using JAL app and website, so I show up on 11/30 to catch my flight departing at 11:55pm in Hanoi.  I was 2.5 hours early before departure which was plenty of time to check in, at the ticket counter, the attendant said I need to provide them with the ticket number in order to issue a boarding pass.  I show them my booking information on my phone in JAL portal and they said it is not enough and they must have the ticket number.  I told them the ticket was issued via a reward redemption with AA.  They said they couldn't help me and I need to contact AA to get more information.  I got on the AA chat immediately and was able to obtain the ticket number, I immediately provided the ticket number to the counter attendant, they were able to locate the flights but only could print the boarding pass from Hanoi to Narita, and said the second boarding pass will have to be issued in Haneda airport for departure to DFW, when I told them that I might not have enough time because the layover is 4 hours, they let me carry the carryon (even though 2 kg over the limit) rather than have it checked.  I do find that very nice of them for allowing me to carry on. 
 
However, the fact that they can't find my reservation unless I give them the ticket number is odd.  How can an airline not have my name or passport number to pull up the ticket information/reservations?   If AA chat was nonresponsive, I could have missed my flights.  

I would say that the meals on both flights were very nice.  I chose the asian meals on both flights.  Flight attendants were all very attentive and courteous.  

JAL needs to improve their check in process!!!  Although I did arrive on time and got on the connecting flight in Haneda airport, the delay in getting the boarding pass and the check in process could be improved.   I am giving 5 of out 10 stars due to the check in issue.",December 2024,"December 3, 2024",3.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,5.0
Avoid this Airline at all Costs,Los Angeles,Tokyo,International,"I was looking forward to a trip to Japan for myself and my wife in November and went with JAL because they had a great reputation and I didn't want any hassles or problems on our 10th wedding anniversary.  I booked our flights in late May for a November visit and received an email confirmation.  I wanted to double check our seats in August and it's a good thing I did as there was no record of our booking despite a confirmation email and code!!  I contacted a JAL rep who said he could book the flight, but that we would have to pay for the flight again and get refunded later.  As the rest of our trip, including accommodation and trains were already booked, I reluctantly went along with this.  I later received a call  from the same rep who said he would get us upgraded seats on the outbound and inbound flights, but would have to pay for the upgrades upfront and that they would be refunded later.  At this point I was pretty suspicious and checked out the name of the rep, who was in fact, a JAL employee.  Long story short, we never received the upgraded seats!  The outbound upgrades were never recorded and the inbound upgrades were cancelled because the video monitors for both seats were not working.  Icing on the cake was that we sat under a vent on the inbound flight and were absolutely freezing for 10 hours.  We are still dealing with a cold/flu one week after returning.  

After all this, we were told it would be ""one to two billing cycles""  (i.e. one to two months) before our refund would appear on my credit card.  

Japan was beautiful, but flying with JAL was an absolute nightmare with a lot of broken promises.  As of this date, I am still out $3600.  

Do yourself a favor and go with any airline other than JAL.",November 2024,"November 24, 2024",1.0,,,,,,,,
Japan Airlines disappointing service,Sydney,Madrid,International,"Very disappointed with Japan Airline Customer Service and care.
I booked a flight for next June 2025. Sydney to Madrid return on a special deal of $1500.00 return.  I was going to add on the Lounge and went in to manage my booking only to find my surname in their system was incorrect.  They had left the last 3 letters off my name.  Its a co share flight with Iberia aways from Heathrow to Madrid.  They will not amend my surname as per my passport details.  The only option they say is to pay a cancellation fee of $300 an error that was not my fault as I imputed my information to purchase a ticket and my passport details.  So, I have to pay a fee for their error and now I can't rebook at that price.  My option now is to pay $2500 with another airline.  I will NEVER recommend Japan Airlines and certainly will NEVER travel with them.  I work in the airline industry and was really disappointed in the Lack of service and could not care less attitude they gave me.  According to them it was my fault.",October 2024,"November 24, 2024",1.0,,,,,,,,
Poor provision for vegetarians,Paris,Tokyo,International,"We had requested vegetarian meals when making our booking, but were labelled as vegans on board and literally got just vegetables and fruit, plus some rice, during the flight. The meals were very low on calories and quantity. The hostess handing out snacks put one in front of my partner then suddenly snatched it away, saying we couldn't have it, but didn't provide a replacement! When the other passengers got a French pastry for a breakfast snack, we got clingfilm-wrapped rolls with soggy lettuce and tomato in. We were starving when we got to Tokyo! 
On the return flight we made sure we weren't treated as vegans again and the food was a little better, but by no means equivalent in volume and variety as the standard food package. And we still weren't allowed the snacks or pastries.
Very disappointing.",November 2024,"November 16, 2024",2.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,1.0
Disappointing service on JAL,Tokyo,New York City,International,"While the JAL equipment remains some of the best in the business, the service seems to have dwindled somewhat.  We had the weird experience of one of us (as a couple traveling together) being almost completely ignored during the main meal service. The service started at 8:30 p.m., and almost 30 minutes elapsed between the warm towel and the appetizer, and another 30 minutes between that and the salad.  After that, others were served entrees throughout the cabin, including my spouse, but i was left waiting.  At 10:30 p.m., I still had not been served.  I used the call button to ask what was happening, but no one ever came.  In frustration I cleared my own dishes and took them to the galley, where there were 5 flight attendants gathered, clearing dishes.  They were shocked to see me.  I told them it was too late to eat and I wanted to go to sleep.  After that, 2 different flight attendants came to my seat and offered apologies and other foods, but there was never an explanation as to what had happened, if the entree was not available or if the oven was broken or whatever.  Neither FA was the initial flight attendant who had introduced herself to me at the beginning of the flight - she seemed to have disappeared.  My take is that it was a  mistake and I was just ignored or forgotten, but no one acknowledged that.  I notice that some of the flight attendants are now not Japanese, and I wondered if someone was in training or inexperienced or just not working up to par.  It was atypical of our experience with JAL and quite strange.",November 2024,"November 12, 2024",3.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0
