title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
Korea air price gouging,Qingdao,Vancouver,International,"Bought my round trip ticket between china and Canada only 3 weeks ahead of time. Price was going up. Two days after my purchase the price dropped $150. Definitely using phone cache and price gouging. 

Called in customer service and there's nothing they can do for difference refund. I'm not completely unfair so I asked if they have give me free seat selection to aisle to an additional luggage. Nope. Not even a free napkin was allowed. I frequently fly but will NEVER fly with Korea air again. They aren't even a budget airline. Been with other airlines and they usually give some kind of compensation like a meal upgrade.",December 2024,"December 21, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Holy crap. Expect the unexpected. Don't fly then ever. Fly at your own risk.,Frankfurt,Seoul,International,"Holy crap these guys are bad. Only good thigs I can say about Korean is their seats, and their ok at worst entertainment. Thats it. Aside from that, total crap. These guys's food is so bad, they think they're a Korean restaurant at 30,000 feet. No they're not. This extremely pisses me off with their terrible food chioces, and overall their dining. (Not saying the flight attendants were not ince, they were nice) (Oh yeah, and the short haul flights were good too).",July 2024,"December 13, 2024",1.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,1.0
Liars,Toronto,Qingdao,International,You hid info on free hotel for layover in Seoul when booked return flights on your website so I asked for accommodation on my return flight but was told it was ineligible and no reimbursement for first leg I paid. Shameless!!,May 2024,"December 13, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A good economy product,Seattle,Bangkok,International,"We fly basic economy by Korean Airline to Thailand (with a transit stop at Seoul [ICN airport]). With the basic economy, we are unable to select seat during the booking stage or before check-in, however, we have had no trouble to select a preferred seat (isle) during the check-in stage. We have also got one checked backage (though we did not choose to use the luggage allowance.) and a carry on with one cabin baggage + 1 personal item. The 1st flight (from North America to ICN) is pretty empty and pleasant. The 2nd flight segment (from ICN to Bangkok) is pretty full. 
We have selected seafood meal for the onboard dining. During onboarding, we have quickly approached by the cabin crew to confirm our onboard meal selection. Our seafood special meal is always served ahead of the regular meal. There are three meals (onboard, a snack, and a meal before arrival) for the North America to Seoul flight, and there is one meal service for ICN to Bangkok flight. 
The Korean Airline offers a good movie selection for onboard entertainment. There is no WiFi on the flight. You are provided with pillow, a blanket, a disposable slipper, and a toothbrush + toothpaste to use onboard. Overall, we have found that the cabin service, entertainment and meal quality to be satisfactory in term of economy cabin.",December 2024,"December 9, 2024",4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0
Luggaged Customer service trash,Atlanta,Manila,International,"Their customers service is trash. They lost my luggage and couldn't care less about it. They never communicated me an update and we're grossly incompetent.  It is a warning that whoever Flys here and has the luggage lost or delayed, you will not get any great service from this trash airline",November 2024,"December 7, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Korean Air Lines crews favors Korean speakers during their flights,Seoul,Los Angeles,International,"Shame I couldn't give them a ""0""! The seat was extremely uncomfortable, and the crew was extremely rude. They treated Korean speakers better than they treated English speakers. When I wrote to them merely to advise them of what happened as a coaching and developmental opportunity, they insulted me by saying my issues are not worthy of a refund. I never asked for, nor did I infer that I wanted, a refund! They are horrible!",November 2024,"December 7, 2024",1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0
Flight to Incheon South Korea.,Amsterdam,Seoul,International,"Check in and boarding was very good, we had a slight delay in take off but this was of no fault by the airline, the entertainment set was a good selection of movies, drama, and music, would have liked to have had more than 1 drink served which was red wine with my meal, but I realise that the crew were busy and I did not want to pester them. The in flight mean served was excellent, 3 choices as well also breakfast was 2 choices. It was a very busy flight so I recommend booking your seat. Tooth brush, toothpaste and slippers were supplied.",December 2024,"December 4, 2024",4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0
Excellent experience,New York City,Cebu Island,International,"Excellent service all the way around.  Comfortable, roomy seating for my 6’2” frame. Meal selections were very good.  I highly recommend Korean Air to friends.",March 2024,"December 2, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
WORST AIRLINE EVER,Sydney,Busan,International,"If I could give this airline 0 or even -1 out of 5 I would.
Similar to the reviews above they have no idea on how to handle cancelled or delayed flights due to bad weather; I am aware that this was the heaviest snowfall since records begun but the way the airline and airport staff reacted to this was as if no one had ever seen snow or managed cancelled/delayed flights before.

We were stuck on the tarmac for 2 hours +, with announcements only every 30 minutes to say 'we have been advised to wait here for a few more minutes'. We got a text on arrival to say our flight from Seoul to Busan had been cancelled, with no further information on any alternative options.

When we finally disembarked and got to the service counter, a huge line awaited us. The lady at the desk was neither helpful or sympathetic, simply told us to go through immigration, collect our luggage and take a bus. My initial impression was that they had organised a bus for us, but NO. We got to the bus ticket counter who told us there was only 1 ticket left for the night (travelling as a duo). We then had to make our own way to Busan by train. Korean air have so far refused to compensate the taxi ride to Seoul train station or the train to Busan, simply offering a refund of 1/5th of the price of the ticket from Seoul to Busan by plane.

SHAME ON YOU KOREAN AIR.",November 2024,"December 1, 2024",1.0,,,,,,,,
WORST FLIGHT EXPERIENCE SO FAR!,Manila,New York City,International,"I've been flying Korean Air for years since I liked how kind and pleasant the flight crew and I also liked their food. HOWEVER! This was the most chaotic, stressful and frustrating flight ever! Hundreds of people were stranded at the airport due to weather condition. SEEMS LIKE IT'S THE FIRST TIME THAT SNOWED IN SOUTH KOREA AND NO ONE KNOWS WHAT TO DO IN THIS KIND OF SITUATION?! I missed my connecting flight to NY due to delayed flight from Manila, my connecting flight was supposed to be 8:30pm and I get off the plane at the same time. The crew in Manila told me that if I missed my flight, the crew in Korea will help me but what happened? I was standing and waiting in line for more than an hour to rebook my flight but when the people started piling up they closed the customer service and  told everyone to go inside the airport and someone will assist for rebooking a ticket. But when I get inside the Transfer desk were closed, the Korean Air Lounge were closed , the whole floor were closed and no one to speak to. They are pointing fingers to whom to talk to and been telling people that they don't know nothing! Eveyone was on the the floor, people literally slept on the floor, and worst, even elderly on the wheelchair have to wait and stayed in line while waiting until the next morning. I stayed at the airport for almost 20hours with NO COMPENSATION, NO NOTHING!! I had to chat a live agent and rebook my own flight. Everyone was waiting for nothing! WHAT A SHAME KOREAN AIR! And when I finally arrived in NY, I waited for almost 2hrs only to find out that they lost one of my luggage and told me that it's not on their list. I literally had no energy to argue since I've been travelling for almost 40hrs and has not enough sleep. They just told me that they will file a report but no assurance. I chatted a live agent and told me that IT IS NOT GUANTEED that they could find my luggage, not even mentioning a compensation to ease my frustration. I JUST CAN'T BELIEVE THIS POOR MANAGEMENT!",November 2024,"November 29, 2024",1.0,,,,,,,,
