title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
Extremely Poor service with Swiss when something goes wrong.,London,Zurich,Europe,"Looking forward to my Swiss flight on the 21st November. My troubles started with the cancellation of my flight to Zurich due to adverse snowfall there. I went to the Swiss Airside representative, they were under a lot of pressure. As I was on an interconnecting flight to Sao Paulo they took details and passed it on to a rebooking clerk. Please note that the re-booking clerk had absolutely no clue or care of the size/logistics of Heathrow. I was rebooked on a flight to Paris with Air France from Terminal 4, whilst I was in Terminal 2. This wouldn't be a problem if they adequate time between terminals, navigating security, and getting to the boarding gate. I had less than 30 minutes to do this, which clearly was not possible. Bear in mind I was airside at terminal 2 at the time. I went back to the check in desks, to ask there advice, they cancelled the Air France flight and arranged a LATAM airlines flight to Sao Paulo, however the rebookings clerk really didn't have a clue or care or both. I was sent to terminal 3 which is close (5/10 minutes apart), HOWEVER the reservation had NO booking reference or ticket number, the checkin staff at LATAM had already left checkin as it closed 90 minutes before departure. I had no way of getting on the LATAM flight as I couldn't obtain a boarding pass. 

My wife who wasn't travelling with me had found a British Airways Flight to Sao Paulo on the airlines website with availability to fly at 22:10 that night. Plenty of time to get on the flight. I then returned to terminal 2 to the Swiss Air check in. Other customers were also there that had been allocated new flights that were impossible to catch. By the time I was seen, over 25 minutes later, I was told the only flights avialable would be the following night. I asked them to check the BA flight, which they said was now sold out.

This is a very abridged version of events. Whilst I absolutely accept that weather events happen, this is when if this was even half managed properly, I would have been on a flight that night and not missed a days holiday in Argentina and the ongoing consequences.

To add insult to injury I did place a complaint with Swiss, along with expenses and twice the response has been dismissed.

It is when something goes wrong that the measure of a business is brought to the fore. This goes to show that SWISS falls short, and is not a quality Airline who resects their customers.",November 2024,"December 17, 2024",1.0,,,,1.0,,,1.0,
Horrible experience - no food left in business class,Los Angeles,Zurich,International,"I fly 250 hours a year and I love Switzerland and the Swiss way so I thought I’d book my family on Swiss air business ,  I booked 2 business and 3 economy seats.  Absolutely horrible in both sections. My kids and wife in the back said the flight attendant was swearing in French, moved my daughters medical supplies to another cabin to find space for another guest - then in emergency we couldn’t find our medical bag. In business they didn’t have enough food for my mother who sat next to me. They had four options and by the time they got to us they said “ sorry all the guests in front have taken all the meals, only meat options left. “. Then I asked about how to drop my arm rest and was told” you can’t “ then I did it myself after 2-3 mins of playing with it. Talked to the manager and supervisor and he didn’t care either and said “our flight crew don’t even have enough food we just eat the left overs “. That was their response. I spent $25,000 cad on this flight for 11 hours.  Emirates is the best and they ruin your experience with every other airline.  Sears were horrible too,",December 2024,"December 16, 2024",1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0
SWISS AIR CREW PUT OUR BABY’S HEALTH IN DANGER 🤱🏻,Budapest,Zurich,Europe,"Swiss air’s stewardesses took out of the airplane our baby bag just minutes before take-off LEAVING OUR BABY WITHOUT HER SPECIAL MEDICAL FORMULA, DIAPERS and necessities FOR 8+ HOURS. 
The reason for that? A Swiss lady wanted to occupy our (!!) seat at the window, so while we were a few meters away (talking to my husband who sat in different row, whereabout the same stewardesses were informed by me at boarding) according to the lady, the stewardesses assisted her and without asking, removed from our dedicated seat (!!!) our butterfly shaped baby bag and full baby bottle and gave it to the airport staff just closing the door and sent it back to the airport, not caring about our desperate complain. 😢 

In our final destination our checked-in luggage was also missing, including rest of our special baby formula, leaving her without her nutrition at night in a foreign country. 🥺

DOES SWISS AIR CARE ABOUT BABIES and will take the responsibility for their stewardesses of flight LX2255 or let them ruin other families’ trip again? 😞

Are Swiss stewardesses entitled to remove the onboard passengers’ belongings from their designated seats without their consents? Are Swiss stewardesses allowed to let a passenger to occupy other passengers’ seat while it is standing a few meters away?",December 2024,"December 15, 2024",1.0,,,,,,,,
Thank you! Great job !,Bordeaux,Rome,Europe,"I haven't had such a great experience of punctuality, friendliness, simplicity and professionalism in a while. I will prefer Swiss Air from now on. Thank you. You made traveling agréable these days.",December 2024,"December 15, 2024",5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Never experienced SUCH A TERRIBLE customer service,Amsterdam,Goiania,International,"If I could give 0 starts, I would. INSALY BAD customer service!! No help at all with my questions about adding sport luggage. Unclear and contradicting policies on the website. When contacting customer service (through phone and chat, have probably contacted them at least 10 times over multiple weeks), they did not even try to answer the question and kept sending me to other airlines while my flight is operated by Swiss. Even ending the chat of hanging up mid-conversation. Never experienced SUCH BAD customer service!!!!!",December 2024,"December 15, 2024",1.0,,,,1.0,,,,
seems that Swiss systematically cheats customers when they book seat reservations,Zurich,Athens,Europe,Swiss sells seat reservations but doesn't deliver the promised service. This happened 4 times in a row (Sept 3.. and Dept. 23.) Swiss makes no refunds and doesn't respond to complaints but charges you for the reservations (4).,September 2024,"December 14, 2024",1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0
Absurd price for luggage,Nice,Sao Paulo,International,"I am writing to request a refund for the absurd fee I was forced to pay at the airport. 

The situation was as follows: I bought a ticket and it only included a 23kg bag, but I needed to add another 23kg bag -  I tried several options on the Swiss website, but it would only allow me to upgrade to Business and not add another bag because I had a flight with another airline.

That's when I decided to call and they told me that it would be possible to add another bag but that I could only do it at the airport. I called another airline too to check about it and they said that they didn't even have access to the flight details (because I had bought it with Swiss). On the phone with SWISS, they assured me that I could buy the second 23kg bag and put in a Request note that I had requested the bag before but it wasn't possible to add it because I could only do it at the airport, but they assured me that they wouldn't charge the airport fees because I had requested it before the 48 hours. At the airport they charged me a ridiculous fee of €260 to check in an extra 23kg bag. Not even the things I have in the bag are worth that amount, but I needed to take all my clothes with me. 

I explained everything that had happened to the lady at the airport and she told me that it would be possible for me to have added the bag over the phone (but they told me no) with this attendant and that even if I went to the airport to buy the checked bag days before the flight, they would charge the same amount because it was the airport fee she said and it wouldn't make any difference if I had gone earlier. She said that I did have the right to complain writing the email and she encouraged me because n it even the crew staff agreed of this fee, that this was absurd what they did to me. What option would I have???? I tried to add it days before the flight and it would be blocked in the system, the lady assured me that it would be €70 to check it in (which is the normal price) I demand that they evaluate my case and refund me this outrageous amount and be fair with me).

I paid money that I couldn't afford to check in this bag, I'm in a very bad emotional state because I had to make this trip and they still do this to me. 

Please be aware of your real customers, I continued to use Swiss and I hope you value your service, I am really sad about this situation.

Hope to hear from you soon with a solution,
Kind regards,
Amanda",December 2024,"December 13, 2024",2.0,4.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0
"Most appalling service ever. OK if you manage to get on your plane, but no customer service or care if you don't. Avoid,",Manchester,Johannesburg,International,"The worst customer service possible. Our flight to South Africa was connecting in Zurich. Our flight from Manchester was delayed and we did not make or connection. We told staff at check and asked what would happen, they were totally indifferent. When we arrived at nearly 10.30 in Zurich, it was chaos, no one could tell us what we should do. We received different information from swiss air representatives. Eventually we were told to book a hotel, pay ourselves and we would be re-imbursed. We would also be booked on the following days plane. 
We were. Rather than a direct flight, we were booked to Milan. Addis Ababba and then Johannesburg. We were all split up (party of 4) and had to sit individually. All we asked told us our bags would arrive. We decided to get them back and book them back onto the Ethiopian Airways flight we were being put on. Only to find our luggage was lost and they didn't know where it was! We arrived a day and a half late onto a dream safari holiday.
Swiss Air would not pay for the delay, because they said it was not their fault. They did however agree to pay our overnight expenses, although for some reason it wasn't the amount we provided receipts for - and they sent links that did not work. After 4 months, I have still not been able to get them to pay the money they agreed to pay. There are no numbers to ring and emails are not responded to, other than there is a long delay in responding due to the high workloads - no surprise with the customer service they provide. It is no joke.",July 2024,"December 12, 2024",1.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0
Unreasonable and profiteering,London,Cape Town Central,International,"Incredibly bad customer experience. I purchased flights using my married name but couldn’t update my passport in time (for reasons outside of my control). They refuse to update the name on their system nor will they refund my flight. I paid £870 originally for a London-Cape town economy ticket and replacement now costs £2,000, so I need to pay £2,870 for one flight! Their customer service is abrupt and rude and they cannot be bothered to address any issues to assist a customer. Never using them again.",December 2024,"December 11, 2024",1.0,,,,,,,,
Economy seats passing off as business class!!!,Paris,Barcelona,Europe,"First the plane was Air Baltic on the first leg which I didn't anticipate though my company paid for SWISS business class. The second leg was operated by SWISS. However in both legs the seats were purely economy with limited leg room and the only difference is the middle seat is blocked. No TV no entertainment and the food sucks. One hard bread, salty quiche and diluted coffee ( o cappuccino ). These are the worst business class seats I've ever taken and no way I will take Swiss again on business. Over priced and a scam!!!",December 2024,"December 10, 2024",1.0,,,,,,,,
