"x","y","topic","rating","review"
6.49306678771973,10.210467338562,"Emirates Luxury Travel",4,"I used Emirates new Premium Economy class. Obviously """"Premium Economy"""" is not business, It is situated on the first deck, in front of economy sections. Headsets are the same with economy class. It reclines but it is no shell seats, so once everybody reclines seats, for those who are not on the aisle it becomes very difficult to get out e.g. to go to washroom. However, on positive side, I found new seats well constructed with leather upholstery, foot rest comes up high enough to feel the support, the premium economy section  was very quiet away from engines (plus it is airbus A380), food was very good and most probably upgraded from economy menu, dedicated toilets were never too busy,  and it comes will small overnight kit off socks, eye masks and toothbrush. Of course IFE was vast and I liked interactive map system, too. Overall, it is a good choice to add extra comfort from Economy Class."
1.55149114131927,2.77334475517273,"Emirates Baggage Issues",1,"When me and my daughter arrived in Miami 2 of our bags were not loaded into the plane, we arrived on Wednesday and till today Saturday I have bot received any communication from Emirates, I have called, emailed and tried the lice chat to no help at all, no one knows anything and they are not helpful at all, the worst experience I have ever had with a air company, very disappointing."
5.2225513458252,1.64350020885468,"Airline Flight Problems",1,"Worst airline and staff they have no ethics whatsoever because of them I missed my flight and delay of luggage’s.The staff are filled with attitude and are arrogant as hell. I would not recommend this airline at all."
4.50146150588989,4.69355487823486,"Emirates Airline Hospitality",5,"It’s not often I write reviews but felt that after my experience travelling home on Tuesday it was only right to share how amazing the staff at emirates were with me. I suffer from a condition called Adenomyosis, this is a condition that unfortunately has good days as well as bad. I have never experienced a “really” bad day whilst travelling and unfortunately this occurred on my flight home and I wasn’t equipped with the right medication (total carelessness on my part and lesson learned for future travel). I didn’t think I was going to be able to travel home due to the pain I was enduring but the staff at eremites made me feel so comfortable, they allowed me to go to the toilet whilst the seatbelt sign was on and also helped me whilst being sick, which I honestly can’t thank them enough for doing as being sick in a public setting is horrendous at the best of times let alone on a flight. They also managed to source me pain relief and checked up on me every hour as well as asking various health questions in case I started feeling worse. Honestly cannot thank them more from the bottom of my heart. Also side note to thank Dubai airport for allowing us to travel via buggy to our gate as I could no longer walk as I had lost feeling in my legs and was close to losing consciousness due to pain levels. Again I cannot thank everyone enough as it was a very scary and traumatic experience which was made much easier due to the kindness and care that was given."
2.56943917274475,8.39181327819824,"Emirates Refund Issues",1,"We all know Emirates charge extortionate prices, however there is zero value for the money you spend! The AC is too high and most of the passengers are freezing cold. The food is so basic and not well presented. No desirable snacks, so tight in terms of offerings. The Ice selection is so bad when it comes to TV series and movies. The latest movies are so bad so why can Emirates not add more movies from the past - more award winning, more classics and more choice of tv series! Mad Men, The Affair, Little White Lies.. It really isn’t worth the value in money at all. It’s so bad. If i could, i would travel with other airlines that don’t take you for a ride for money! Thanks for giving me a cold for XMAS!"
8.87277030944824,5.10635137557983,"Emirates Flight Attendance",5,"We recently traveled with our 13-month-old daughter for the very first time to Dhaka, Bangladesh. The service provided by our cabin crew member, Bithika, during the Dubai to Dhaka flight was nothing short of excellent. Bithika took great care of our daughter, ensuring her comfort throughout the journey. She even arranged a child meal, despite our daughter primarily eating purées, and showered her with plenty of thoughtful gifts.
As first-time parents traveling in economy class, we were initially apprehensive, but Bithika’s exceptional care and attentiveness made our journey smooth and enjoyable. We truly appreciate her efforts. Thank you!"
5.93599891662598,2.41503620147705,"Airline Passenger Care",3,"Overall flight experience has always been very pleasing but I'm not sure why they do not put efforts in grooming the customer service enthusiasm of the ground staff. A tiny little smile or a gesture of """"Hi"""" or """"Hello"""" could make a lot of difference but I always exprience the ground staff very grumpy and most of the time they even get rude."
6.83636045455933,5.38087224960327,"Airline Flight Services",3,"Was not satisfied with the service specially the food which was horrible. We didnt even had possibility to choose as only 1 option was left for both main course and dessert. Food was great on flyDubai."
4.84577035903931,5.00971508026123,"Emirates Airline Hospitality",2,"I always love flying Emirates, living in the UAE for over a decade Emirates would be my go to airlines, they usually have great service and wonderful staff. Unfortunately, this time did not reflect the standards I usually have for Emirates. First of all the flight attendants were very passive aggressive anytime I would ask for something, there was only one woman with short brown hair who was very sweet and very helpful and honestly made this flight slightly more bearable. Service was slow you would wait 20-30 mins if you rang the service button and once you did the flight attendant would come to you like they were annoyed at the fact that you called them. Second of all the food was absolutely disappointing, I found 2 hairs in my food, one blonde one and one long black one (i have brown hair and it was braided and away from my food so it couldn’t have been mine) the food was edible but really not so good and once I got home from my flight I stayed up vomiting all night, safe to say I am really disappointed as me and my family have been long time customers of Emirates and I would never have expected this experience and to be treated this way. I have another flight in 10 days with Emirates and for the copious amount of money I payed for these tickets I truly hope my experience is a lot better than this and that I won’t have to write another bad review."
5.43755435943604,9.00600814819336,"Emirates Flight Review",5,"Flying with Emirates is the best good service, 
Good service from staffs especially when you chance and served by Sohaila she' star in amillion 💯 fantasy my favorite flight from now."
